e, e_dot, e_int, stamp, 
-2.5718966207958425, -0.019565182799183845, -0.5136038149527976, 1762615965611810674, 
-2.5747969320716213, -0.019390655210758112, -0.5142586494361071, 1762615965711955616, 
-2.577665208011872, -0.019228624053431176, -0.5151719209543989, 1762615965811894048, 
-2.580502950244601, -0.019020060576598514, -0.5147944823394995, 1762615965911669882, 
-2.5833268022436937, -0.018871980772739622, -0.5159941448765345, 1762615966011853157, 
-2.586133162142838, -0.01876737299412401, -0.518339317792888, 1762615966112318320, 
-2.5888901403696885, -0.018544460419982478, -0.5173437188773067, 1762615966211899705, 
-2.5916305643621693, -0.018324674064437534, -0.5163729516165674, 1762615966311776012, 
-2.5943520793443495, -0.018206463248870246, -0.5181980777877543, 1762615966411850788, 
-2.597049250331754, -0.018062286565282786, -0.5192212864503658, 1762615966511911882, 
-2.5997125261467158, -0.017868156007887492, -0.5187470104117702, 1762615966611596429, 
-2.6023680329129144, -0.017729275270534178, -0.5198344606900769, 1762615966711870521, 
-2.6049988846977774, -0.01762119517020544, -0.5217725885218129, 1762615966812096216, 
-2.607595596921084, -0.017425213360565312, -0.5210670906049895, 1762615966911897235, 
-2.6101712695876933, -0.01724128296638631, -0.5206302578712808, 1762615967011755879, 
-2.6127349987771966, -0.017131339520375377, -0.5223694645207709, 1762615967112025965, 
-2.615276978188479, -0.017019028669285063, -0.5239988821932507, 1762615967212312130, 
-2.6177767457304295, -0.016805823177442985, -0.5224662997202444, 1762615967311801788, 
-2.62026856122747, -0.01663861012997092, -0.5222985178082554, 1762615967411832218, 
-2.6227518233611478, -0.016583592102394167, -0.5255157428974627, 1762615967512359976, 
-2.625185905120302, -0.016391146309439424, -0.5244030505962554, 1762615967611777300, 
-2.6276114337593857, -0.01619870132745967, -0.5233426510712001, 1762615967711714703, 
-2.630041747140797, -0.0161861400683172, -0.5277840635154399, 1762615967812637951, 
-2.6324048174447983, -0.015977945618042, -0.5260123194384676, 1762615967911717917, 
-2.634776097659766, -0.015781168396563256, -0.5246409209249132, 1762615968011938747, 
-2.637128087041946, -0.01574423199049176, -0.5281850849336814, 1762615968112185188, 
-2.639443824242618, -0.015559088609506944, -0.5268786414159051, 1762615968211732249, 
-2.6417495715501222, -0.01540494836058818, -0.526555110141142, 1762615968311680161, 
-2.644035617450379, -0.01530597735920273, -0.5280475452083487, 1762615968411618288, 
-2.64630581836143, -0.015187489371026134, -0.5288470945761825, 1762615968511695678, 
-2.6485618772528663, -0.015087532674957771, -0.5302359994160906, 1762615968611987021, 
-2.650788792965729, -0.01494324868099639, -0.5300163959664075, 1762615968711811199, 
-2.653001781200671, -0.014799679826015636, -0.5297644901832904, 1762615968811839012, 
-2.6552065502580207, -0.014725857640972192, -0.5319695039460921, 1762615968912327481, 
-2.6573717923221873, -0.014566703738387865, -0.531024275805055, 1762615969011833589, 
-2.659524919953538, -0.014394565651724514, -0.5295363616312004, 1762615969111598493, 
-2.6616655230174437, -0.01431243565085468, -0.5312810259684889, 1762615969211599290, 
-2.6638063512611025, -0.014271437691881772, -0.5345597865431904, 1762615969312435062, 
-2.665897822986534, -0.014107666563634899, -0.5331847802266737, 1762615969411759513, 
-2.6680053503524044, -0.013996663637672787, -0.5337834250061082, 1762615969512661173, 
-2.6700755414134116, -0.013925728089591397, -0.5356767020010735, 1762615969612538421, 
-2.672113282794241, -0.013693108139454976, -0.5315539595425757, 1762615969711740227, 
-2.67416441120006, -0.013629565955494508, -0.533942236490456, 1762615969812358297, 
-2.6761725145048487, -0.013530772368692823, -0.5346256820931329, 1762615969911663817, 
-2.356832270014677, 1.0577738039512763, -0.5146446456435466, 1762615970012682683, 
-2.3618503741702983, 1.0477404677818347, -0.49796507003385, 1762615970113682001, 
-2.366689022703383, -0.032855842295687054, -0.47098916299866495, 1762615970212103060, 
-2.3715712482521085, -0.032402913606034055, -0.4701459154887293, 1762615970312332109, 
-2.376383697112103, -0.03231558136239876, -0.47434168254392095, 1762615970412116589, 
-2.3811511713499245, -0.03193307699271989, -0.47444917681897303, 1762615970511985124, 
-2.3858757504201047, -0.03164017769333949, -0.47580414656206826, 1762615970611938847, 
-2.390538561277708, -0.031291299759278836, -0.47619680642186424, 1762615970711576790, 
-2.3951958175192742, -0.031066890330565162, -0.47845990547336836, 1762615970812086330, 
-2.3997661133965096, -0.03075850706267147, -0.4793549268739259, 1762615970911711044, 
-2.4043199524142858, -0.030413782983371718, -0.47967311498618886, 1762615971011970064, 
-2.4088283597539784, -0.030207487858229243, -0.4820901553247605, 1762615971112222291, 
-2.413261291246736, -0.02980446277483395, -0.48130367580759154, 1762615971211780358, 
-2.417667392418098, -0.0294634422137315, -0.4814398084294255, 1762615971311720619, 
-2.422035482319104, -0.029247303574559957, -0.48353742613123885, 1762615971411783039, 
-2.426354930267491, -0.028958459497977113, -0.48441821381922145, 1762615971511726548, 
-2.4306317054483104, -0.028654077097354975, -0.48497348638698884, 1762615971611661599, 
-2.4348872805924566, -0.028441167749885626, -0.4870298590293963, 1762615971712098852, 
-2.439073816955965, -0.02814037169218242, -0.4875090690815978, 1762615971811881823, 
-2.4432199694255528, -0.02777562944365375, -0.4867948171071847, 1762615971911681784, 
-2.4473284725157054, -0.027515518532467514, -0.4878336764844988, 1762615972011551189, 
-2.4514127440388056, -0.027309248710842837, -0.48978275689061496, 1762615972111811999, 
-2.4554524577733594, -0.027079950858846697, -0.49127621616387174, 1762615972211957748, 
-2.459459146945428, -0.026821343022075023, -0.4921020852165535, 1762615972312224876, 
-2.4634187266694565, -0.026554229653656947, -0.4928973876771506, 1762615972412367881, 
-2.467352112034118, -0.026309883628966208, -0.49397265590547057, 1762615972512748807, 
-2.4711830708772347, -0.02588114735926054, -0.49150176283663294, 1762615972611572754, 
-2.4750378540058975, -0.025619139905931714, -0.4921400031354777, 1762615972711899743, 
-2.478839949391668, -0.025522928381445098, -0.49570766200347355, 1762615972811857036, 
-2.4826035282829144, -0.025218914256723107, -0.4953909952769818, 1762615972911748693, 
-2.486345909485538, -0.025019866979566114, -0.49699333682404473, 1762615973012047983, 
-2.490023951127053, -0.024734742813795247, -0.4968601537790055, 1762615973111585907, 
-2.4936869610703427, -0.024470171949348973, -0.49706072580870436, 1762615973211669246, 
-2.497325586476396, -0.024338784497809723, -0.49990542164746277, 1762615973312054955, 
-2.5008993051116586, -0.024041146804386255, -0.49928043738319744, 1762615973411597027, 
-2.5044591317940554, -0.02377848439219843, -0.49928973928974146, 1762615973511699404, 
-2.507988957260286, -0.023632173828757413, -0.5016918585809167, 1762615973611917270, 
-2.5114674294501236, -0.023360992186893803, -0.5014258271767396, 1762615973711632202, 
-2.5149385451340227, -0.02316529291245632, -0.5026610858092259, 1762615973812063834, 
-2.518346632108783, -0.022930675528864224, -0.5030275709830027, 1762615973911649723, 
-2.521774026313224, -0.022784937264003585, -0.5052321914223625, 1762615974012683913, 
-2.52513095972284, -0.022614425380191133, -0.5068304260543427, 1762615974112633293, 
-2.5284493385010163, -0.022251040625974976, -0.5043206338047245, 1762615974212405515, 
-2.531724117139183, -0.021977191387808997, -0.5035666206534978, 1762615974311794695, 
-2.5349818703587808, -0.02177510619254826, -0.5042208222325677, 1762615974411567007, 
-2.538230389870796, -0.02168757577204398, -0.5074964066628456, 1762615974511992191, 
-2.541429117828749, -0.021490824899893884, -0.508253292868273, 1762615974611807544, 
-2.5445964132621266, -0.02122007797110174, -0.5072022680244213, 1762615974711566657, 
-2.5477451303396665, -0.02105337503639208, -0.5085540582764618, 1762615974811664501, 
-2.550863898529053, -0.020891617556421476, -0.5099794616574244, 1762615974911736389, 
-2.553944866349125, -0.02066578669819445, -0.5097893334042447, 1762615975011515168, 
-2.557011564654311, -0.020492220417526557, -0.5108154308540914, 1762615975111747121, 
-2.5600417186112057, -0.020322840873602626, -0.5118941190517557, 1762615975211708458, 
-2.563053612193132, -0.02014015846273735, -0.5126024908104814, 1762615975311979682, 
-2.5660168587625765, -0.01991713383790265, -0.5121763610361416, 1762615975411540252, 
-2.56899003333949, -0.019788070487859837, -0.5136521043633728, 1762615975512154299, 
-2.5719044239600546, -0.019625217324927096, -0.5151579772641078, 1762615975612071161, 
-2.5748031095709725, -0.019376920771607686, -0.5144041088040141, 1762615975712163736, 
-2.5776586687774725, -0.01918081605805977, -0.5139225349864994, 1762615975811669104, 
-2.5805119368348937, -0.019029424213070634, -0.5150567970473735, 1762615975911979544, 
-2.583327186918792, -0.018895060471065445, -0.5166002039012367, 1762615976011863001, 
-2.586129109550064, -0.018723909050567162, -0.5171567829526095, 1762615976112170087, 
-2.588891536734549, -0.018547832719189767, -0.5174627304556931, 1762615976211955627, 
-2.591627869664304, -0.01832920038080073, -0.5164645685071912, 1762615976311663305, 
-2.5943498846051387, -0.018194492901965436, -0.5178237960116399, 1762615976411762380, 
-2.597050817843609, -0.01807649393101703, -0.519670150775531, 1762615976511972277, 
-2.5997245119687418, -0.017915424545343523, -0.5201404614849392, 1762615976612044283, 
-2.602368912945947, -0.017726983674459795, -0.5197662963004066, 1762615976711904326, 
-2.6049922955925147, -0.01755927874590964, -0.5199619879334448, 1762615976811848156, 
-2.607589945426287, -0.01740344160113298, -0.5204040603071171, 1762615976911676807, 
-2.610172654846632, -0.01726786418039102, -0.5214176727539526, 1762615977011810067, 
-2.6127440799394326, -0.017180448377152047, -0.5238785207665746, 1762615977112383559, 
-2.6152630493102462, -0.016967981545380855, -0.5224304007732128, 1762615977211766083, 
-2.617772368916443, -0.016760963256701917, -0.5210679572080299, 1762615977311624931, 
-2.620270224411248, -0.016690583670005605, -0.523904571645392, 1762615977411900114, 
-2.6227360088418035, -0.016545466417867694, -0.5243598318509634, 1762615977511742448, 
-2.6251915432743926, -0.016404396210482435, -0.5248945629183425, 1762615977612032817, 
-2.6276067800990344, -0.016235904190769663, -0.5244624486345177, 1762615977711524111, 
-2.630020042300969, -0.01609499675525446, -0.5248755847676587, 1762615977811787103, 
-2.6324101145707286, -0.01601111490564744, -0.5271059919608557, 1762615977911943702, 
-2.6347744194644527, -0.01584792387827901, -0.5266870591696883, 1762615978011865645, 
-2.6371239722858526, -0.015712859050413346, -0.5271348432169594, 1762615978112012377, 
-2.639447082907275, -0.015575544809407482, -0.527439289458789, 1762615978211871810, 
-2.6417598062698535, -0.015452779946669715, -0.5281917638984874, 1762615978312127189, 
-2.6440402813582833, -0.015310661503361208, -0.5282009567349215, 1762615978411815463, 
-2.6463314331416354, -0.015238756239273066, -0.5305090918319788, 1762615978512770266, 
-2.6485576312550414, -0.01505783298919372, -0.5292062780258525, 1762615978611794423, 
-2.6507951885677974, -0.014879184753873176, -0.527792513515799, 1762615978712045431, 
-2.6530149917337327, -0.01485786826230425, -0.5318061042690231, 1762615978812416219, 
-2.655214891549271, -0.014732343271578094, -0.5322084845393674, 1762615978912651088, 
-2.657372728788234, -0.014525790181670514, -0.5295563363731041, 1762615979011857377, 
-2.6595286992312, -0.014379358939763756, -0.5291210233359505, 1762615979111765477, 
-2.6616734898942074, -0.014335870353245165, -0.5322144488748173, 1762615979211973734, 
-2.6637892243413233, -0.014201750367077715, -0.5319529760745109, 1762615979311622790, 
-2.665902979399365, -0.014098298350525932, -0.5328446429850083, 1762615979412006368, 
-2.668006453806957, -0.014057431552112476, -0.5359349497390296, 1762615979512656227, 
-2.670068402106571, -0.01388474235735219, -0.534090262740461, 1762615979612190679, 
-2.672121902102505, -0.013718160985159619, -0.5326960913303782, 1762615979712162971, 
-2.6741547962058863, -0.013621313664384793, -0.5336191195913161, 1762615979811889836, 
-2.6761925089722327, -0.013568689565759406, -0.5360083157742158, 1762615979912603123, 
-2.356847910913449, 1.057689617641458, -0.5150219701858308, 1762615980012360418, 
-2.3618079719110336, 1.0479484568706636, -0.49336970698954713, 1762615980112757209, 
-2.3666882057510295, -0.032800982791935475, -0.4716972836122732, 1762615980212081396, 
-2.3715550718555005, -0.032490333148222916, -0.47155890896837704, 1762615980312006014, 
-2.3763669233421063, -0.03226239197025619, -0.4736128564266802, 1762615980411788552, 
-2.3811319164842204, -0.031922815429066276, -0.4742812067316487, 1762615980511589807, 
-2.385961190975779, -0.03198089211224294, -0.4809019462961693, 1762615980613750323, 
-2.390540962240403, -0.03136348585394207, -0.4772621118120599, 1762615980711626065, 
-2.3951857734633375, -0.03074860829186103, -0.4736165112238108, 1762615980811869587, 
-2.399763651017293, -0.030742295922966772, -0.47910760837084093, 1762615980911657343, 
-2.4043222286905643, -0.030454850757422786, -0.4803132957363352, 1762615981012020374, 
-2.408815224148841, -0.03017191043849306, -0.48151599798672867, 1762615981111930156, 
-2.4133344625206092, -0.030040779433483007, -0.4850814968576155, 1762615981213397271, 
-2.4176741645624324, -0.029529801378638254, -0.48252250221067056, 1762615981311875284, 
-2.422045734332381, -0.029037572705905568, -0.4802212840684935, 1762615981412025846, 
-2.426368849384812, -0.028982282741264836, -0.48482956827847296, 1762615981512050200, 
-2.430639040751959, -0.028644354731926686, -0.4848226016705328, 1762615981611841355, 
-2.4348874942076586, -0.02839548274282233, -0.4862247800989296, 1762615981712090692, 
-2.4390868813375244, -0.028159468618551564, -0.48770732849508686, 1762615981812142439, 
-2.4432253904874424, -0.02779298759927921, -0.48713178887116687, 1762615981911811270, 
-2.447361118891061, -0.027580791845121706, -0.489148382638957, 1762615982012348515, 
-2.4514534293504906, -0.02742679621016079, -0.49179879210158634, 1762615982112763102, 
-2.4554386050402157, -0.026924953830516074, -0.48849153513767535, 1762615982211617506, 
-2.4594500495254037, -0.026655400583043647, -0.48890715658700346, 1762615982311874337, 
-2.4634384796170106, -0.026666248589316172, -0.4949943971759638, 1762615982412880362, 
-2.4673132907234514, -0.026210803993492366, -0.4925172585200854, 1762615982511808224, 
-2.4711979342352586, -0.025864848727493357, -0.4911858718840112, 1762615982611957318, 
-2.475042661657066, -0.025764569778716034, -0.4948249268585327, 1762615982712046167, 
-2.4788366210149335, -0.025462289265583138, -0.49455837842265016, 1762615982811776807, 
-2.4826077184661632, -0.02521685603032342, -0.49532722581849836, 1762615982911869239, 
-2.4863641458235093, -0.02509174936191923, -0.4984289946158509, 1762615983012545528, 
-2.4900593180034822, -0.02483866512439666, -0.49896042392222967, 1762615983112549627, 
-2.49369794618353, -0.024446001200068384, -0.4965749611683528, 1762615983211969982, 
-2.4973151473480395, -0.024186097815190877, -0.496769199865176, 1762615983311760050, 
-2.500911231321087, -0.024044283791857524, -0.49936457876106394, 1762615983411931123, 
-2.504554411681714, -0.024130881112249074, -0.5067260127061126, 1762615983514375331, 
-2.5080338849293002, -0.023742178694043936, -0.5032965770227295, 1762615983612888044, 
-2.5114800430629782, -0.023085437937546693, -0.4956393140851147, 1762615983711996867, 
-2.5149355728251463, -0.023005626319487032, -0.5000594368320002, 1762615983811997257, 
-2.518349241398448, -0.022897327784899463, -0.5023039696182559, 1762615983911726340, 
-2.521740980085359, -0.022684690867375384, -0.5030677264798289, 1762615984011758743, 
-2.5250993498109415, -0.0225003613749782, -0.5044017369537098, 1762615984111748454, 
-2.528465147505516, -0.02241389140052341, -0.5079276714484785, 1762615984212910105, 
-2.531730051582947, -0.0221023392400177, -0.506262429136833, 1762615984311976313, 
-2.535025036854749, -0.021866297830777093, -0.5061810246857, 1762615984412844146, 
-2.5382483514758922, -0.021727666309817966, -0.5084167778283091, 1762615984512535109, 
-2.5414333575465857, -0.021361068972788704, -0.505341307042096, 1762615984611935716, 
-2.5446184136348324, -0.02123354052980068, -0.5075955040819347, 1762615984712263148, 
-2.5477481069557553, -0.0210491646972318, -0.508474635990921, 1762615984811760696, 
-2.5508841260361237, -0.02088570800430419, -0.5091974344786163, 1762615984912124748, 
-2.553950609736138, -0.02067500926794234, -0.5100214693452526, 1762615985011701610, 
-2.5570086331078703, -0.0204150235724887, -0.5095863113953197, 1762615985111653616, 
-2.560057716667531, -0.02035702310464386, -0.5127711435790036, 1762615985212237398, 
-2.563052186486598, -0.0201451779290925, -0.512722703849834, 1762615985311932831, 
-2.566019913890503, -0.019873990743239922, -0.5110822161074922, 1762615985411641841, 
-2.5689738208874138, -0.01973878133605241, -0.5128309378778004, 1762615985511787811, 
-2.571920402513053, -0.019668295408499976, -0.5161716790027556, 1762615985612567271, 
-2.574811280182158, -0.019458197649147024, -0.5159650390770488, 1762615985712403959, 
-2.577662755814819, -0.019141177672552523, -0.5130151288000236, 1762615985811812066, 
-2.5805169827137706, -0.01901900843870911, -0.5149225010604569, 1762615985912167220, 
-2.583332865002624, -0.01890036395935102, -0.5167099966376484, 1762615986012048127, 
-2.586118890814297, -0.018673027001754328, -0.5157249246923952, 1762615986111803480, 
-2.588895931135648, -0.018543553776746435, -0.5173988229495721, 1762615986212116045, 
-2.5916340161459748, -0.01838375110559287, -0.5180369117421499, 1762615986311904034, 
-2.5943493439868033, -0.018178042837183977, -0.5173768778007221, 1762615986411750094, 
-2.5970433241039124, -0.018031026526458643, -0.5182137711375503, 1762615986511651687, 
-2.5997434251323983, -0.01798027048531677, -0.5219978648357805, 1762615986612746916, 
-2.602368362925605, -0.01775012940564184, -0.5205527621612038, 1762615986711885977, 
-2.6049903717954788, -0.01748982221026818, -0.5179426750400796, 1762615986811774416, 
-2.607590879628918, -0.017408389011042875, -0.5205517619249538, 1762615986911715197, 
-2.610167351029815, -0.017256597447787847, -0.5210727576777358, 1762615987011604214, 
-2.61273776033008, -0.017156269003873643, -0.5231148725785639, 1762615987112129656, 
-2.6152696076989645, -0.0170075222304981, -0.52363238953844, 1762615987212020411, 
-2.6177765220447813, -0.01679587238233804, -0.522137446167195, 1762615987311779858, 
-2.620275110419873, -0.01668500906969535, -0.5237378390578608, 1762615987412090352, 
-2.622731406490902, -0.0165162814870697, -0.5234637391382188, 1762615987511555276, 
-2.6251837980494384, -0.016362292098550668, -0.5235571101203419, 1762615987611713298, 
