e, e_dot, e_int, stamp, 
-2.5474074640578244, -0.021681024141626537, -0.522857347272088, 1762662124800823065, 
-2.550719423122708, -0.021032312017698434, -0.5129916896082807, 1762662124906973746, 
-2.5536334210619525, -0.020753190013760303, -0.5115365462718963, 1762662125001379483, 
-2.556539778086464, -0.01940118321252034, -0.48324124653703204, 1762662125096210668, 
-2.559834023947133, -0.0206686762839355, -0.5200947400068183, 1762662125204806178, 
-2.562702450950475, -0.020542242880036515, -0.5221610309861727, 1762662125300204357, 
-2.5659059805368796, -0.02023985529915488, -0.5201910748761217, 1762662125407782689, 
-2.56860375765397, -0.019671022344984006, -0.5105314329008397, 1762662125499184749, 
-2.571509744462031, -0.018679213083837947, -0.4899049253983502, 1762662125598505640, 
-2.574565417102029, -0.019872198160196437, -0.5263477245361631, 1762662125703865098, 
-2.57726758461073, -0.019192800495663558, -0.5135420762916793, 1762662125797982250, 
-2.5803969397136943, -0.019438408705550653, -0.5257786561803371, 1762662125907860062, 
-2.5830350068164116, -0.01922474068560535, -0.5250130411682548, 1762662126001457287, 
-2.586021833346524, -0.01874964544276529, -0.5177972319038819, 1762662126108311828, 
-2.588571299832077, -0.018454310052217576, -0.5142878847861959, 1762662126200340712, 
-2.591534053360561, -0.018374066713457243, -0.5175698548477797, 1762662126308245402, 
-2.594118040814159, -0.018489136606940626, -0.5256935482382318, 1762662126403200929, 
-2.5966509995483538, -0.01705648729264227, -0.4898598594871085, 1762662126497081478, 
-2.5993773244624605, -0.017530945494338052, -0.5084258734073323, 1762662126598996688, 
-2.602024622567584, -0.017912076730766852, -0.5244675177584073, 1762662126698850120, 
-2.60461455671706, -0.0174574408486657, -0.5162443079933746, 1762662126797399154, 
-2.6073161586852716, -0.01763845372562578, -0.5268040800456951, 1762662126901105210, 
-2.6097135166940166, -0.016996533256521396, -0.5124296405745606, 1762662126993942090, 
-2.612441009724634, -0.017082836797874812, -0.5203370488991823, 1762662127100481542, 
-2.614833664364284, -0.017067158900891204, -0.5244827727060267, 1762662127194714157, 
-2.6175416833481715, -0.017002245411791666, -0.5280186091281704, 1762662127302405431, 
