e, e_dot, e_int, stamp, 
-2.6174450235260953, -0.017174563887677092, -0.5332220358808291, 1762663467298523128, 
-2.6201694772317823, -0.017042840442550816, -0.5345899463445902, 1762663467407804983, 
-2.6224906983872467, -0.016818916203837908, -0.5323765292734083, 1762663467501717557, 
-2.6247793070422927, -0.01536609936836797, -0.49115760678362297, 1762663467595092451, 
-2.6274965898456375, -0.0166863048613027, -0.538614321951112, 1762663467706910047, 
-2.6297466991434058, -0.016557973670376924, -0.5393815456286789, 1762663467800388061, 
-2.6323348477094806, -0.016127526212810217, -0.5308430933012339, 1762663467908762320, 
-2.634558852061998, -0.016040509728640906, -0.532572178723809, 1762663468002716704, 
-2.636765718731769, -0.0147695700742941, -0.49509251841813356, 1762663468096685088, 
-2.6392929858366427, -0.01578044591548237, -0.5339793578818783, 1762663468205221510, 
-2.6414546195018493, -0.015629669233601835, -0.5335432264013092, 1762663468298848269, 
-2.643944210414309, -0.015504081925554006, -0.5345452619747819, 1762663468407580898, 
-2.645991316010745, -0.015122321696319219, -0.5259354376952541, 1762663468497780144, 
-2.648445141286699, -0.015003102907966692, -0.5270931076310876, 1762663468606775090, 
-2.6504880003948132, -0.014988947946893797, -0.5309261552827359, 1762663468698257628, 
-2.652899988177817, -0.014849489637060268, -0.5312132664279814, 1762663468807186715, 
-2.654949690747005, -0.014872301173973016, -0.5364863003737733, 1762663468900493191, 
-2.6572895317605623, -0.014631811942484122, -0.5332695695065464, 1762663469008038033, 
-2.659294723112515, -0.014483441218365497, -0.5324914366744815, 1762663469100890545, 
-2.661305825768409, -0.013387646692821775, -0.49634051954167385, 1762663469194681562, 
-2.6636477988952456, -0.014510252609102695, -0.5429088125870172, 1762663469304883002, 
-2.665627207161267, -0.014404604642860678, -0.5438042389755593, 1762663469398848537, 
-2.6678601488467217, -0.014041166504920414, -0.5352743292439902, 1762663469505682783, 
-2.669761906075874, -0.0137823297153572, -0.5296600168535007, 1762663469597390404, 
-2.6717504818330418, -0.01296777662106674, -0.5027364335628886, 1762663469693988333, 
-2.6739725564066563, -0.014035501102607206, -0.5489884777916418, 1762663469802863366, 
-2.6758372396177506, -0.013622525949029315, -0.5374770072186004, 1762663469895000476, 
